Asp,Elev,FalB1,FalB2,FalB3,FalB4,FalB5,FalB6,FalTCb,FalTCg,FalTCw,LAE,NDVIMin,NDVIMax,NDVIMedian,NDVIDiff,Slpp,SprB1,SprB2,SprB3,SprB4,SprB5,SprB6,SprTCb,SprTCg,SprTCw,SumB1,SumB2,SumB3,SumB4,SumB5,SumB6,SumTcb,SumTcg,SumTCw,ppti,tavei,dep
135,1842,809,1258,1824,2711,3416,3116,1735,244,-2431,2670,1579,3062,1945,1117,1,904,1362,1974,2748,3605,3322,1831,257,-2566,812,1315,1947,2984,3626,3163,1842,259,-2581,9282,39466,6281
-1,1827,899,1346,1809,2712,3544,3073,1800,253,-2522,2655,1345,3081,1817,1264,1,1025,1506,2054,2738,3871,3456,1966,276,-2755,904,1397,1969,2869,3910,3219,1986,279,-2783,9158,39532,6281
-1,1620,868,1275,1884,2602,3384,3034,1719,241,-2408,2422,1561,2768,1764,1004,3,1033,1486,2139,2979,3965,3545,2014,283,-2822,920,1405,2016,2909,3864,3394,1963,276,-2750,6906,40749,6266
-1,1856,788,1171,1573,2340,2612,2272,1327,186,-1859,2657,1198,2217,1572,645,1,917,1345,1807,2530,2864,2486,1455,204,-2038,930,1378,1886,2549,2910,2581,1478,207,-2071,9048,39764,6281
-1,1833,762,1102,1451,2217,3001,2705,1525,214,-2136,2636,1134,2440,1491,949,1,977,1322,1761,2352,3230,2930,1641,230,-2299,947,1334,1826,2433,3354,3104,1704,239,-2387,8576,39770,6281
-1,1598,775,1205,1757,2620,3495,3145,1775,249,-2487,2394,1464,2702,1775,927,1,930,1415,2076,2881,3938,3549,2001,281,-2803,832,1315,1998,2878,3967,3474,2015,283,-2823,7531,41120,6266
-1,1600,673,1051,1334,2887,3183,2564,1617,227,-2265,2397,1609,3876,2352,1524,0,901,1355,1859,2668,3852,3426,1957,275,-2741,823,1238,1720,2572,3802,3347,1931,271,-2706,7472,41083,6266
-1,1610,684,1021,1379,2225,3264,2863,1658,233,-2323,2409,1427,2822,1928,894,2,931,1312,1779,2509,3923,3469,1993,280,-2792,748,1123,1612,2361,3733,3360,1896,266,-2657,7475,40659,6266
-1,1757,824,1280,1830,2784,3598,3143,1828,257,-2561,2579,1264,2488,1624,864,0,971,1565,2252,3063,3890,3411,1976,277,-2769,1024,1524,2164,3151,4028,3497,2046,287,-2867,9651,40378,6266
-1,1751,856,1325,1890,2839,3750,3362,1905,267,-2669,2575,1473,2797,1888,909,3,916,1397,2020,2869,3797,3360,1929,271,-2702,946,1528,2043,3188,4159,3406,2113,297,-2960,9592,40384,6281
