Asp,Elev,FalB1,FalB2,FalB3,FalB4,FalB5,FalB6,FalTCb,FalTCg,FalTCw,LAE,NDVIMin,NDVIMax,NDVIMedian,NDVIDiff,Slpp,SprB1,SprB2,SprB3,SprB4,SprB5,SprB6,SprTCb,SprTCg,SprTCw,SumB1,SumB2,SumB3,SumB4,SumB5,SumB6,SumTcb,SumTcg,SumTCw,ppti,tavei,dep
276,1947,1104,1712,2246,3395,3911,2934,1987,279,-2783,3102,1269,2651,1898,753,4,1199,2018,2567,3619,4206,3458,2137,300,-2993,1202,2013,2476,3624,4099,3349,2082,292,-2917,8221,36872,6290
223,1915,1687,2570,3194,4316,5474,4294,2781,390,-3896,3076,1209,1706,1407,300,35,1427,2275,2815,3900,4450,3658,2261,317,-3167,1390,2148,2707,3970,4068,3512,2067,290,-2895,8230,36862,6291
11,1889,1914,2574,2969,3581,4306,4048,2187,307,-3065,3046,922,1231,1031,200,2,1547,2190,2493,3417,3848,3603,1955,274,-2739,1482,2091,2500,3375,3955,3493,2009,282,-2815,7581,37078,6290
90,1889,1058,1471,1765,2454,3263,2882,1658,233,-2322,3049,1282,2219,1631,588,2,1070,1572,1900,2843,3409,3069,1732,243,-2426,1104,1639,2061,2866,3566,3052,1812,254,-2538,7579,37028,6291
79,1891,1141,1573,1873,2576,3478,3020,1767,248,-2475,3051,1216,2055,1594,461,2,1166,1689,2003,2914,3460,3077,1758,247,-2462,1190,1771,2167,2954,3660,3074,1859,261,-2605,7576,37025,6291
111,1899,1202,1680,2030,2715,3588,3152,1823,256,-2554,3059,1154,1877,1464,413,6,1148,1715,2052,3001,3570,3182,1814,255,-2541,1187,1805,2220,3030,3743,3148,1901,267,-2664,7601,37027,6291
90,1926,909,1306,1649,2475,3176,2633,1613,226,-2260,3094,1301,2538,1887,652,2,1051,1572,1965,2922,3588,3203,1823,256,-2554,1092,1640,2103,2969,3767,3153,1914,269,-2681,7345,36941,6291
273,1983,1532,2192,2569,3717,4034,3441,2049,288,-2871,3146,1153,2551,1755,796,9,1356,2128,2640,3587,4291,3522,2180,306,-3054,1357,2059,2597,3614,4124,3343,2095,294,-2935,8286,36891,6290
180,2040,1111,1633,2096,2998,3735,2841,1897,266,-2658,3196,1310,2149,1677,472,1,1123,1744,2144,3278,3891,3165,1977,277,-2769,1179,1795,2266,3296,3989,3157,2026,284,-2839,8927,36533,6291
164,1932,1522,2170,2049,3510,4613,3795,2343,329,-3283,3090,1146,1911,1500,411,31,1518,2308,2801,3915,5067,3862,2574,361,-3606,1524,2182,2694,3984,5315,3686,2700,379,-3783,9224,36683,6291
169,1847,1251,1744,2068,2679,3500,3295,1778,250,-2491,3002,1159,1791,1387,404,2,1352,1863,2226,3082,3494,3274,1775,249,-2487,1355,1923,2303,3103,3669,3216,1864,262,-2611,7529,37100,6291
56,1853,1162,1574,1924,2552,3281,2972,1667,234,-2335,3008,1201,1784,1419,365,3,1143,1654,1974,2892,3338,3076,1696,238,-2376,1182,1716,2078,2919,3528,3047,1792,252,-2511,7544,37094,6290
